iter	Passed	Remaining
0	0	90
1	1	90
2	2	86
3	3	80
4	4	78
5	5	80
6	6	81
7	6	79
8	7	76
9	8	74
10	8	72
11	9	70
12	10	68
13	10	66
14	11	64
15	12	63
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	23	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	42
38	26	41
39	27	41
40	27	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	32
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	16
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
